tweet,label
keyshawnswag lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga,1
rt digaveliavelife lol i be eatin da shit outta sum pussy ill never be a serial pussy eater tho,1
rt queenreenie how bitch how 8220vontethekidd how is this ok 8221,1
floppy bird chalmers over here taking after his hero lebron,2
boolin in the bando wit a few bitches,1
the mom acts like a bitch doe like ok ur losing ur memory but do not be a cunt to ur daughter,1
mckenzienoel miss you bitch,1
mrste617 where your white hoes at bro lol,1
swagishsternes yea i listen to that hoe when i wake up,1
betodavidthomas jessecanon lmfaooo oh well fuck that bitch,1
as i tweeted before any man telling me to go to the kitchen this season could tell his mom that father probably would not of leftbitch,1
nationaldoughnutday bitch get at me 127849 ,1
my side bitch is my main bitch cuz my main bitch aint feelin me nomonomo,1
rt flemingryan5 savannaasanford hoe,1
all the snacks in this bitch 128516,1
i need to change myself first im retarded as fuck,1
al noooo  too late fuckin faggot  laughing my ass off,0
tia chepa uhh noo bitch she is your tia irma 128530 aghh he is so annoying,1
niggas be bitches hoes be bitches ion see no difference,1
rt loxodontas news 8212 democrats and antisemitism 8212 jewish group condemns vp joe biden8217s offensive reference to shylocks ,2
what kind of sorcery is this rt officiallyice nope rt 2charmss eat this pussy while im on my cycle  call it cherry pie,1
1starflow 128514128514128514 them bitches need a tan,1
sam is such a bitch ronnie got in a fight because of you 128530,1
"rt sweetiepaii rt if you listen to these bands 128522

a7x
ptv
sws
atl
bvb
adtr
bmth
ymas
fob
aa
blink 182
tdg
ss
fir
mcr

follow me  everyon8230",2
then the mexican bitch wanna speak some other fuckin language  then give attitude cannot speak right ass tf,1
despite the zebra red rocket special portland beats those jersey shore floppers,2
omggggg nigga said jerry  black bitch,1
that nigga tannehill trash laughing my ass off dolphins trash,1
therealrickyb21 jetsandaswisher faggot bitch ,1
this bitch keep looking is she choosing me or nah,1
i do not want to deal with yesterdays trash there is a reason it got thrown out in the first place,2
i love how when it was airing everyone loved kill la kill but i was like no its fucking trash and now everyone who loved it hates it,1
goodgraces ok faggot ,1
lymmanny shit gettin money fuckin hoes uk how dat go laughing my ass offoooo,1
rt femaleproblems u may think im a bitch but as soon as you get to know me u realize that first impressions are right and i am a bitch,1
louisck a video i made  porn actress sexy capri anderson kissing video with charlie sheen  via youtube,2
it is still spring bitch,1
where my bitches at mann,1
rt niggasblike when the nigga with the aux cord playin some trash shit ,1
rt cdaesquire who tweeting with last night pussyass or dick on they breath this morning,1
son of a bitch thunder,1
cannot save these hoes,1
easy congo rt 80sbaby4life fuckin faggot rt humbltonbanks all though i eat my lunch on the road frequently,1
kayysavage bitch  if they wasnt 128514128557,1
i have to dress up tomorrow for mock interviews and i still do not know how to tie the tie 128530,2
photo my mains riri22barbie georgegia yessssss ladykimora turntup vegas bitches 128525128525 ,1
walk out that bitch like rt mkellyredmen25 just murdered that test ,1
rt ruckinandrew this bitch has a death grip on this niggas balls smh ,1
skinnykenny13 zaytovenn shiddd add me i a turn that bitch up laughing my ass off,1
brelston i realized it is the one on links awakening too so you killed two birds with one stone unless you are getting the wind fish too,2
d41395 bitch do not b a hypocrite,1
rt bobbybluband note about 30024730 days in a month these hoes selling pussy for 10 a pop lol ,1
"rt hislick bitch you better play with this 

d
 i
i
 i
i
 i
i
 i
i
 i
i
c
k",1
hate when bitches tryna put you in the friendzonebitch i am tryna score put me in the endzone,1
"rt bigbagofscum i am gonna start my own web md site and the only three diagnosis are

quit being a pussy
lay off the drugs
call 911",1
rt theonlyreed idc what phone u got lol silly nigger,0
rt tydunne have to go with the slant pass to your outside linebacker in that situation,2
i hate a hacked at 20k ass hoe,1
kiefferjason keep talking i am going to make when u cannot talk u going to be talking like a retard,1
rt imgonzoe im hooked on money the pussy and weed is just a bonus,1
rt pimpunclejoe mygoalfor2012 unhoe these bitches,1
omg you will not say it to my face stupid ass hoes talkin shit imma whoop her ass over dramatic teenage girls,0
128553 monkey mad,2
orangeone4 steveworks4youbiggest liars ever republican teabagger asshats like stockboy pinoccio,1
noreigastacks he forced it lol mad bitches came to my mind thru every bar,1
fines hoes only 128527128076,1
rt realbobbyjay if a mf really like you978665039 they will drop all their hoes128108128109 exes9995128530  groupies and focus only on you 128107,1
harvard got the worst hoes cheerleading in america,1
my bitch bad she from the islands,1
deions a bitch,1
debating feminism with a gay professor uninformed girls and low iq rednecks is not my idea of a fun wednesday night,2
rt tipitin ifshecantsuckthedickright slap it on her forehead the bitch needs a spankin discipline her ass 1285149995,1
8220mightbekoi satisfiedx troyy edward did oss he sparkled8221 128514128514 bitch reality,1
the birds singing brings thoughts of hot flesh on this spring morning hot sexual desire fills my head let me taste you  feel you,1
rt thedouch3 tweeting about ur boyfriend will not get him off xbox live that nigga gotta 24 kill streak rn bitch shut up,1
"rt unicorncowboy uglyni99ah pepsi and cheerios
smashin on these hoes
got me blue in the taco
bae thinks of me flaco
errybody frontin
jus8230",1
coreyemanuel bet my trash ass self is just that petty,1
 most hated but the hoes favorite  2mw sevenone  ,1
rt ifollowlesbians lol i have an obsession with smell goods candlesplug insspraythe smelly good wax thingyspussy,1
hellootitty nigger,0
fuck a opp thot we will shoot a bitch,1
patdollard fuckin muzzie cunts should all be deported savages,0
gudnight keep that pussy tight,1
i am not got no pussy or weed i am on that bitch suck my dick diet,1
ladies you are not a hoe if you fucked on the first night do not let these lonely bitches lie to you,1
kayysavage bitch this shit is soooo funny 128553128128128557,1
so i decided to drive to the good walmart where the colored folks do not go bc it is food here,0
like i cannot have niggas thinkin hotep talk time is apart of my party sets,1
rt squeakkgod fuck da opps 1x fuck dear hoes 3x 128514,1
kinglister10 sweetloveeee itscheese that shit chunky lol,1
almightywoo he said he got you in workouts pussy,1
yal some faggots yup nigga you n you fuckin fruit cups,1
rt drunksixthgrade 7th grade bitches love ,1
rt vadefisse dont try too fuck with me  got a million and two bitches because i will tell them all i promise i will,1
kaylaalaa i know all the bitches love me128129,1
"liveitupjersey ccass357 do not trash jerseyodds areyou wouldnt last 10 minutes around here 
go back to watching barney",2
rt anthonycampos23 lebron your still a bitch you suck nigger hope you die,0
 peterdavidsonii at some point we need to discuss how delicious the vegan brownie from busboysandpoets on u st tastes,2
 idk why niggah give a female head then throw a condom on laughing my ass offoo niggah you already ate the whole std 10412041041204,1
omfg the crazy bitch is here128557128584,1
them hoes do not like me 128514128514128514128514128514128553128553128553128553128530999665039,1
warriors am not winning shit if curry keep playin like a bitch,1
this bitch,1
people are such bitches complaining over stupid things,1
on top of that she just a pregnant ass sorry hoe aint never got no money even her water broke  talltrappin88 riptallt,1
stephyrae7 where have you been hoe,1
my niggah i slept perfect,1
128514128514128514 nah if you round me you do molly 8220callneeshcakey only bitches with no nigga do mollies8221,1
lcistj  so you about to purpose to charlie,2
hoes be like hoes be likebut they be the hoes that be like,1
"lillivonschtupp 13damage brazenmodels 
i do not likes dat magazine all da black folk look like dey one chromeasome away from da ape",0
rt missvoshay 8220vaientinescards 8221 ooooo give this one to the hot pocket hoe aamu,1
rt beautifulkeezy 8220100046729 beautifulkeezy lmfao bitch was i talking to you 1285141285148221but i am talking to you in my bubba voice 128514128514128514128128,1
it is funny when u get a black female mad they start acting ghetto then a bitch,1
8220kingsm if howard elbow bosh will bosh fight back8221 do not have to got mcbob bird and ud,2
every slant in losangeles should be deported those scum have no right to be here chinatown should be bulldozed,0
pau a hoe how u gon play after the trade deadline,1
 rt urkindofbrand dawg rt 80sbaby4life you ever fuck a bitch and she start to cry you be confused as shit,1
tyga and drake two light skin bitches but if had to choose in a fight i would go with the guy from compton over the one from toronto,1
imxnii i swear this is just disgraceful like a bitch line a really be dry all day i will only get emails from pacsun  128557128299,1
